baseSKU,description,image1,image2,image3,price_S_OS,price_M,price_L,price_XL,price_2XL,keywords,isCustom,category,productType,garmentType,colorRange,locCount,colorAttribute,requiresArt,sku_S_OS,sku_M,sku_L,sku_XL,sku_2XL
LNPTEE1-2-1,LNP 1-2 Color 1 Loc Core Cotton Tee,,,,,,,,,"core cotton tee 1-2 color, 1 loc",YES,APPAREL,GRID_TEE,TEE,1-2,1,,YES,LNPTEE1-2-1-S,LNPTEE1-2-1-M,LNPTEE1-2-1-L,LNPTEE1-2-1-XL,LNPTEE1-2-1-XX
LNPLS1-2-1,LNP 1-2 Color 1 Loc Long Sleeve Core Cotton Tee,,,,,,,,,"long sleeve core cotton tee 1-2 color, 1 loc",YES,APPAREL,GRID_TEE,LS,1-2,1,,YES,LNPLS1-2-1-S,LNPLS1-2-1-M,LNPLS1-2-1-L,LNPLS1-2-1-XL,LNPLS1-2-1-XX
LNPMW1-2-1,LNP 1-2 Color 1 Loc Performance Blend Tee (Moisture Wick),,,,,,,,,"performance blend tee (moisture wick) 1-2 color, 1 loc",YES,APPAREL,GRID_TEE,MW,1-2,1,,YES,LNPMW1-2-1-S,LNPMW1-2-1-M,LNPMW1-2-1-L,LNPMW1-2-1-XL,LNPMW1-2-1-XX
LNPFLC1-2-1,LNP 1-2 Color 1 Loc Fleece Crewneck Sweatshirt,,,,,,,,,"fleece crewneck sweatshirt 1-2 color, 1 loc",YES,APPAREL,GRID_TEE,FLC,1-2,1,,YES,LNPFLC1-2-1-S,LNPFLC1-2-1-M,LNPFLC1-2-1-L,LNPFLC1-2-1-XL,LNPFLC1-2-1-XX
LNPHDY1-2-1,LNP 1-2 Color 1 Loc Fleece Pullover Hooded Sweatshirt,,,,,,,,,"fleece pullover hooded sweatshirt 1-2 color, 1 loc",YES,APPAREL,GRID_TEE,HDY,1-2,1,,YES,LNPHDY1-2-1-S,LNPHDY1-2-1-M,LNPHDY1-2-1-L,LNPHDY1-2-1-XL,LNPHDY1-2-1-XX
LNPMTNK1-2-1,LNP 1-2 Color 1 Loc Core Cotton Tank Top (Men's),,,,,,,,,"core cotton tank top (men's) 1-2 color, 1 loc",YES,APPAREL,GRID_TEE,MTNK,1-2,1,,YES,LNPMTNK1-2-1-S,LNPMTNK1-2-1-M,LNPMTNK1-2-1-L,LNPMTNK1-2-1-XL,LNPMTNK1-2-1-XX
LNPLTNK1-2-1,LNP 1-2 Color 1 Loc Women's Core Cotton Tank Top,,,,,,,,,"women's core cotton tank top 1-2 color, 1 loc",YES,APPAREL,GRID_TEE,LTNK,1-2,1,,YES,LNPLTNK1-2-1-S,LNPLTNK1-2-1-M,LNPLTNK1-2-1-L,LNPLTNK1-2-1-XL,LNPLTNK1-2-1-XX
LNPTEE1-2-2,LNP 1-2 Color 2 Loc Core Cotton Tee,,,,,,,,,"core cotton tee 1-2 color, 2 loc",YES,APPAREL,GRID_TEE,TEE,1-2,2,,YES,LNPTEE1-2-2-S,LNPTEE1-2-2-M,LNPTEE1-2-2-L,LNPTEE1-2-2-XL,LNPTEE1-2-2-XX
LNPLS1-2-2,LNP 1-2 Color 2 Loc Long Sleeve Core Cotton Tee,,,,,,,,,"long sleeve core cotton tee 1-2 color, 2 loc",YES,APPAREL,GRID_TEE,LS,1-2,2,,YES,LNPLS1-2-2-S,LNPLS1-2-2-M,LNPLS1-2-2-L,LNPLS1-2-2-XL,LNPLS1-2-2-XX
LNPMW1-2-2,LNP 1-2 Color 2 Loc Performance Blend Tee (Moisture Wick),,,,,,,,,"performance blend tee (moisture wick) 1-2 color, 2 loc",YES,APPAREL,GRID_TEE,MW,1-2,2,,YES,LNPMW1-2-2-S,LNPMW1-2-2-M,LNPMW1-2-2-L,LNPMW1-2-2-XL,LNPMW1-2-2-XX
