baseSKU,description,image1,image2,image3,price_S_OS,price_M,price_L,price_XL,price_2XL,keywords,isCustom,category,productType,garmentType,colorRange,locCount,colorAttribute,requiresArt,sku_S_OS,sku_M,sku_L,sku_XL,sku_2XL
SVNTEE1-2-1,SVN 1-2 Color 1 Loc Core Cotton Tee,,,,,,,,,"core cotton tee 1-2 color, 1 loc",YES,APPAREL,GRID_TEE,TEE,1-2,1,,YES,SVNTEE1-2-1-S,SVNTEE1-2-1-M,SVNTEE1-2-1-L,SVNTEE1-2-1-XL,SVNTEE1-2-1-XX
SVNLS1-2-1,SVN 1-2 Color 1 Loc Long Sleeve Core Cotton Tee,,,,,,,,,"long sleeve core cotton tee 1-2 color, 1 loc",YES,APPAREL,GRID_TEE,LS,1-2,1,,YES,SVNLS1-2-1-S,SVNLS1-2-1-M,SVNLS1-2-1-L,SVNLS1-2-1-XL,SVNLS1-2-1-XX
SVNMW1-2-1,SVN 1-2 Color 1 Loc Performance Blend Tee (Moisture Wick),,,,,,,,,"performance blend tee (moisture wick) 1-2 color, 1 loc",YES,APPAREL,GRID_TEE,MW,1-2,1,,YES,SVNMW1-2-1-S,SVNMW1-2-1-M,SVNMW1-2-1-L,SVNMW1-2-1-XL,SVNMW1-2-1-XX
SVNFLC1-2-1,SVN 1-2 Color 1 Loc Fleece Crewneck Sweatshirt,,,,,,,,,"fleece crewneck sweatshirt 1-2 color, 1 loc",YES,APPAREL,GRID_TEE,FLC,1-2,1,,YES,SVNFLC1-2-1-S,SVNFLC1-2-1-M,SVNFLC1-2-1-L,SVNFLC1-2-1-XL,SVNFLC1-2-1-XX
SVNHDY1-2-1,SVN 1-2 Color 1 Loc Fleece Pullover Hooded Sweatshirt,,,,,,,,,"fleece pullover hooded sweatshirt 1-2 color, 1 loc",YES,APPAREL,GRID_TEE,HDY,1-2,1,,YES,SVNHDY1-2-1-S,SVNHDY1-2-1-M,SVNHDY1-2-1-L,SVNHDY1-2-1-XL,SVNHDY1-2-1-XX
SVNMTNK1-2-1,SVN 1-2 Color 1 Loc Core Cotton Tank Top (Men's),,,,,,,,,"core cotton tank top (men's) 1-2 color, 1 loc",YES,APPAREL,GRID_TEE,MTNK,1-2,1,,YES,SVNMTNK1-2-1-S,SVNMTNK1-2-1-M,SVNMTNK1-2-1-L,SVNMTNK1-2-1-XL,SVNMTNK1-2-1-XX
SVNLTNK1-2-1,SVN 1-2 Color 1 Loc Women's Core Cotton Tank Top,,,,,,,,,"women's core cotton tank top 1-2 color, 1 loc",YES,APPAREL,GRID_TEE,LTNK,1-2,1,,YES,SVNLTNK1-2-1-S,SVNLTNK1-2-1-M,SVNLTNK1-2-1-L,SVNLTNK1-2-1-XL,SVNLTNK1-2-1-XX
SVNTEE1-2-2,SVN 1-2 Color 2 Loc Core Cotton Tee,,,,,,,,,"core cotton tee 1-2 color, 2 loc",YES,APPAREL,GRID_TEE,TEE,1-2,2,,YES,SVNTEE1-2-2-S,SVNTEE1-2-2-M,SVNTEE1-2-2-L,SVNTEE1-2-2-XL,SVNTEE1-2-2-XX
SVNLS1-2-2,SVN 1-2 Color 2 Loc Long Sleeve Core Cotton Tee,,,,,,,,,"long sleeve core cotton tee 1-2 color, 2 loc",YES,APPAREL,GRID_TEE,LS,1-2,2,,YES,SVNLS1-2-2-S,SVNLS1-2-2-M,SVNLS1-2-2-L,SVNLS1-2-2-XL,SVNLS1-2-2-XX
SVNMW1-2-2,SVN 1-2 Color 2 Loc Performance Blend Tee (Moisture Wick),,,,,,,,,"performance blend tee (moisture wick) 1-2 color, 2 loc",YES,APPAREL,GRID_TEE,MW,1-2,2,,YES,SVNMW1-2-2-S,SVNMW1-2-2-M,SVNMW1-2-2-L,SVNMW1-2-2-XL,SVNMW1-2-2-XX
SVNFLC1-2-2,SVN 1-2 Color 2 Loc Fleece Crewneck Sweatshirt,,,,,,,,,"fleece crewneck sweatshirt 1-2 color, 2 loc",YES,APPAREL,GRID_TEE,FLC,1-2,2,,YES,SVNFLC1-2-2-S,SVNFLC1-2-2-M,SVNFLC1-2-2-L,SVNFLC1-2-2-XL,SVNFLC1-2-2-XX
SVNHDY1-2-2,SVN 1-2 Color 2 Loc Fleece Pullover Hooded Sweatshirt,,,,,,,,,"fleece pullover hooded sweatshirt 1-2 color, 2 loc",YES,APPAREL,GRID_TEE,HDY,1-2,2,,YES,SVNHDY1-2-2-S,SVNHDY1-2-2-M,SVNHDY1-2-2-L,SVNHDY1-2-2-XL,SVNHDY1-2-2-XX
SVNMTNK1-2-2,SVN 1-2 Color 2 Loc Core Cotton Tank Top (Men's),,,,,,,,,"core cotton tank top (men's) 1-2 color, 2 loc",YES,APPAREL,GRID_TEE,MTNK,1-2,2,,YES,SVNMTNK1-2-2-S,SVNMTNK1-2-2-M,SVNMTNK1-2-2-L,SVNMTNK1-2-2-XL,SVNMTNK1-2-2-XX
SVNLTNK1-2-2,SVN 1-2 Color 2 Loc Women's Core Cotton Tank Top,,,,,,,,,"women's core cotton tank top 1-2 color, 2 loc",YES,APPAREL,GRID_TEE,LTNK,1-2,2,,YES,SVNLTNK1-2-2-S,SVNLTNK1-2-2-M,SVNLTNK1-2-2-L,SVNLTNK1-2-2-XL,SVNLTNK1-2-2-XX
SVNTEE3-5-1,SVN 3-5 Color 1 Loc Core Cotton Tee,,,,,,,,,"core cotton tee 3-5 color, 1 loc",YES,APPAREL,GRID_TEE,TEE,3-5,1,,YES,SVNTEE3-5-1-S,SVNTEE3-5-1-M,SVNTEE3-5-1-L,SVNTEE3-5-1-XL,SVNTEE3-5-1-XX
SVNLS3-5-1,SVN 3-5 Color 1 Loc Long Sleeve Core Cotton Tee,,,,,,,,,"long sleeve core cotton tee 3-5 color, 1 loc",YES,APPAREL,GRID_TEE,LS,3-5,1,,YES,SVNLS3-5-1-SM,,SVNLS3-5-1-L,SVNLS3-5-1-XL,SVNLS3-5-1-XX
SVNMW3-5-1,SVN 3-5 Color 1 Loc Performance Blend Tee (Moisture Wick),,,,,,,,,"performance blend tee (moisture wick) 3-5 color, 1 loc",YES,APPAREL,GRID_TEE,MW,3-5,1,,YES,SVNMW3-5-1-S,SVNMW3-5-1-M,SVNMW3-5-1-L,SVNMW3-5-1-XL,SVNMW3-5-1-XX
SVNFLC3-5-1,SVN 3-5 Color 1 Loc Fleece Crewneck Sweatshirt,,,,,,,,,"fleece crewneck sweatshirt 3-5 color, 1 loc",YES,APPAREL,GRID_TEE,FLC,3-5,1,,YES,SVNFLC3-5-1-S,SVNFLC3-5-1-M,SVNFLC3-5-1-L,SVNFLC3-5-1-XL,SVNFLC3-5-1-XX
SVNHDY3-5-1,SVN 3-5 Color 1 Loc Fleece Pullover Hooded Sweatshirt,,,,,,,,,"fleece pullover hooded sweatshirt 3-5 color, 1 loc",YES,APPAREL,GRID_TEE,HDY,3-5,1,,YES,SVNHDY3-5-1-S,SVNHDY3-5-1-M,SVNHDY3-5-1-L,SVNHDY3-5-1-XL,SVNHDY3-5-1-XX
SVNMTNK3-5-1,SVN 3-5 Color 1 Loc Core Cotton Tank Top (Men's),,,,,,,,,"core cotton tank top (men's) 3-5 color, 1 loc",YES,APPAREL,GRID_TEE,MTNK,3-5,1,,YES,SVNMTNK3-5-1-S,SVNMTNK3-5-1-M,SVNMTNK3-5-1-L,SVNMTNK3-5-1-XL,SVNMTNK3-5-1-XX
